cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,A2C,asset,ETHUSDT,a2c_sb3_default,-0.22454826095496574,0.7797256807300351,-0.24809767446501976,1.3458389355406744,0.7584726392560904,0.0003506311360448,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,A2C,asset,SOLUSDT,a2c_sb3_default,-0.0976683354242485,1.0634199216816695,-0.30120282689017647,1.638170589452792,0.7586494951276546,0.0003506311360448,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,A2C,asset,XRPUSDT,a2c_sb3_default,0.15118540012968368,0.885806602009367,0.26669328843710965,1.4734582363767132,0.6964905353727076,0.0003506311360448,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,A2C,portfolio,ALL,a2c_sb3_default,0.0057469428995517765,0.6238364349454095,0.003551766357784958,1.1327503887161734,0.44557122406508337,0.0005259467040673,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,PPO,asset,BTCUSDT,ppo_canonical,0.4150927437869261,0.07816744727572049,1.0384784001307865,0.09730639732351054,0.46279496738595427,0.0029074103977703002,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,PPO,asset,ETHUSDT,ppo_short_rollout,0.344667026551403,0.6373126704188735,0.73266421599226,1.1037044646962568,0.632618189502617,0.0010621276447682,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,PPO,asset,SOLUSDT,ppo_canonical,0.0637075263055021,1.0858337017139166,-0.2540024337511423,2.063624890581749,0.7282066162454757,0.010397141468524659,0.2,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,PPO,asset,XRPUSDT,ppo_canonical,-0.12140653466541707,0.7995755581135042,0.02344089213812688,1.2027975687165224,0.7312936525597122,0.019776567520226263,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,PPO,portfolio,ALL,ppo_short_rollout,0.15004028567398678,0.6498172119213881,0.3800145135155416,1.2239216491230305,0.5544652690758959,0.12580036803006306,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,RecurrentPPO,asset,BTCUSDT,rppo_short_rollout,0.027350955625190677,0.5768123057665657,0.2017738483820258,1.20315366112371,0.59155444287507,0.0007004422776996,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,RecurrentPPO,asset,ETHUSDT,rppo_short_rollout,0.34513392441207197,0.6367839311943984,0.7349473817118822,1.0989754089408785,0.6324773378486658,0.0003506311360448,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,RecurrentPPO,asset,SOLUSDT,rppo_canonical,0.09087703134425125,0.6330132735570165,0.510657127041037,1.0789943931830996,0.6483985683697266,0.019765471465634822,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,RecurrentPPO,asset,XRPUSDT,rppo_short_rollout,0.14049710108274754,0.8956012486950807,0.20120753054763493,1.564302534200768,0.7027070241280886,0.00308811695094188,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,RecurrentPPO,portfolio,ALL,rppo_canonical,-0.8843487540657184,0.10995400170666532,-5.163194278871478,2.3193471496227516,0.8914173660889313,0.5518482891111418,0.8,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,A2C,asset,BTCUSDT,a2c_mnih_canonical,0.030023868097309236,0.5731329160058426,0.21336797480095226,1.1871031648589006,0.5915638836624393,0.0003506311360448,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,A2C,asset,ETHUSDT,a2c_sb3_default,0.06016730171297526,0.7797256807300352,0.24333322137789262,1.3458389355406744,0.695474991479257,0.0003506311360448,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,A2C,asset,SOLUSDT,a2c_mnih_canonical,0.2906377173793698,1.0634199216816695,0.29697249636637596,1.638170589452792,0.6745798629415376,0.0003506311360448,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,A2C,asset,XRPUSDT,a2c_mnih_canonical,0.15118540012968368,0.885806602009367,0.26669328843710965,1.4734582363767132,0.6964905353727076,0.0003506311360448,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,A2C,portfolio,ALL,a2c_sb3_default,-0.3470188236840414,0.5302000965762269,-0.7744089204640613,1.1178645417664068,0.6311010493723375,0.0005259467040673,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,PPO,asset,BTCUSDT,ppo_short_rollout,0.03530074320628984,0.584207874221587,0.21065737037747775,1.2118777594078631,0.5923712823849527,0.00110224363763732,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,PPO,asset,ETHUSDT,ppo_canonical,0.20828721995880967,0.9185372674668366,0.48386943566789126,1.1571910179204898,0.6572026089536489,0.0127644958794848,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,PPO,asset,SOLUSDT,ppo_short_rollout,-0.3984128402758984,0.7314040363305194,-0.39930671555087394,1.2032954448922615,0.7680322998363451,0.01761966861606808,0.0,5
E0L1R1S1,LSTM,L=3+liq,log_penalty,random_subs,PPO,asset,XRPUSDT,ppo_canonical,0.10156895294676697,0.857934235358033,0.2397631685001936,1.5072414523570783,0.676135233397669,0.008935201286402239,0.0,5
